PageNo,Text
42,"['if the idol remain, how can my whole', 'heart belong to Sad? Father, They will be done.', 'I acknowledge They in this', 'hand stroke. I', 'place myself entirely at Thy dispas. al, di', 'reet my footstips- do with me as Reveaun', 'the good in Thy sight.', 'No kind bosom the lean on- no dear, dear', 'friend to open my heart to Father - m other', 'my sister- cousin Lou. o for one friend ! My', 'heart feels like bursting. Ale! I lead forgotten', '0', 'what srief is. I can scarely realize is. After', 'the wound was healed the sky was so edlin', 'as bright and joyous, that, I could not believe', 'it', 'beha', 'would ever be by such a', 'terrible storm. Perishing Burmah, Chin a', 'Africa, reproach my Belfishnef. Here am', 'I, Lord, me. wherever They finger points', 'take', 'l will so;', 'Noo.ste All day my mind is emp loyed-', 'I think of my personal', 'have no time to', 'sorrows but oh! when they come it is', 'overwhrening. My Rob said I must', 'leave him to his', 'destiny i not to to kre', 's']"
43,"['1850', 'his fulings into consideration - consult my', 'our interest my own happinep. O with', 'love and confidence I could throw myself on', 'his tell him band', 'bosom and my interest', 'happinep is to love him, to be ever his.', 'But this must not be. O it is agoining', 'beyond measure ! zet I can give him up-my', 'all is my masters: I desire nothing but to', 'know and do his will. Will I ever see him', 'again - were I near him, could I give him', 'up? How selfish, millions are without', 'while', 'the light of the gospel! How selfish', 'Norr 12. went up home on Friday-returned on', 'yesterday. I was so gay- so glad to be at', 'home again, that I forgot my great trouble:-', 'did not speak of it to any one. Father has', 'a home at last- nine or tin miles from', 'his present he expects the more before are', 'Christmas. I have no fuling I am um', 'photically married to the world. My case is', 'almost hopilip', '800.13th I have written to him no violent', 'struggle. or passion. get oh! l do love him! My', 'school my constantly mining in company']"
44,"['keeps my mind on present sensible ofj Its.', 'These save me from gloom and darkanging x', 'they keep me from enjoying the light of Have', 'eur How ineffictive my mounting as d', 'why? it is not real morning. that a he ant!', 'Nov. 14th This is the anniversary of that', 'night on which the jinger of God first din', 'reated the a heather world; and I was al-', 'most errshed beneath the strace A present', 'iment that something is yet to come, haurt', ""me. Whatever it may be, I don't think A"", 'can', 'been schooled to my heart is', 'cause such anguish. My fulings has are', 'endurance.', 'so cold. it is so so hard to lead the', 'life of a christian? it fills me with slorm oom', 'to think that my life will be spent in', 'Rach friodous minth, and sinful trifling-', 'such indifference to spiritual affairs. mo', 'shall deliver me?', ""Noo. 20 19th This won't do: if I remain"", 'here. l must have a private room. Here', 'the girls are constantly fussing. and is', 'witherly impossible to meditate, read, write,', 'or any it thing of the sort, in any peace.']"
45,"['1850', ""sionary's life, fills him with indescribable mise"", ""ry: he can't endure the thought and prays"", 'heaven to sp are me. Such love as his I', 'never expect to passep again. yet duty calls', 'for the sacrifice, and I hurfully resign The', 'affection- I might say of a life time is', 'not easily subdued; and rm a struggle', 'will its extination cost: hand', 'which directs, and affects, also comforts and', 'protects.', '""O He is good, immensely 800 d,', 'An d just are all his ways.""', '80027th And Dr. Sp arrow is making a fool', 'of', 'himself to get m arried: has been engaged', 'to one of his perpies. I understand he drefees', 'gaily, wears aring - a gold chain ape. Thatis', 'too bad! Hiring buggies to inde her out He is', ':', 'pastor of the P. church in Marion now:Issup-', '-', 'pose has left off school teaching.', 'I am anthous at my', 'to be settled', 'lifetime business yet why? My Father', 'knows what is best for me. O for m are', 'Nior in subjection to Hirr. I desire the have', 'devoteducp! I would have every thought or emo-']"
46,"['ro Juling apart from a desire to do', 'good short of this !', 'see. Compbellite meeting just closed,', 'during which Whirteen joined them. Dr.', 'Nebb went with may Sunday might last might', 'and might. I know it was merely an act &', 'to', 'kin duefs on his J arA but is afforded told me', 'too. much pleasure. Dr. Westmouland me to-day', 'his wife says in love with me but', 'demand', 'I am sure only guefs work;', 'almost it is', 'for I tried my best,', 'and could not discover', ""any positive symptom. This won't do- I"", 'like him tho not well, two well. If he does love', 'me, I must reciprosate it, for I bangiver', 'myself to the heather: yet how can I helpire', 'would is not be better for me to leave', 'Clinton? father may mat be commenient', 'to school, and will not', 'to the', 'a duty require me', 'teach children? Then I will beausy', 'from his bewiteling influence - too Jassina', 'thing.', 'And sister has a daughter- Susan Eliza-', 'bette: l wish I could Bee the little creatured']"
47,"['21', 'Des. 9. th And Dr. Webb used the be dissipated-', 'and it said', 'moreovr- is that crazy spell he', 'had shartly after I came down here was but a', 'drinking spell! Too bada too bad!', 'I must notthink', 'so rurcels of him. That last was after his pro-', 'begion. He had an egg-nogg Saturday might', 'he intends to leave Clinton he is in Eritan', 'to-might flying around some', 'ladies:- all these', 'taken nogether are r other too much. I wish I', 'could fue perfectly indifferent towards him: but', 'he is too fascinatting I am too weakminded,', 'I have not the most distant idea that I', 'should m any effect were he to propose, yet', 'simpletion that I am I do feel his absen ee, -', 's', 'I du almost beginning to love Cim Now that', 'is', 'is a humiliating acknowledgment for he has', '5 never sought my love = but I expect to crush', 'it, to laugh at it, when a separation shall have', 'dispelled the charm.', 'heather I been anxious to be doing some', 'My soul goes out in longings for the', 'thing. I have written to papa for a deiec Mr.', 'League are be here saturday of send agree I must', 'talk with him on the Dubject']"
48,"[""Sec. 12th And cousin Bob can't come for"", 'me before the Blath will 80 by In obileys.', 'I shall not wait, and take his courte If', ""Father can's send for me I shall spend"", 'my vacation down here. I ought the be', 'weaning myself from home: l am in', 'some mise asure. I have felt almost sad', 'to 5-day My poor father was so grievid as', 'fo', 'my last bitter to know the', 'letter it is', 'd', 'heartfelt agony of my dear po arents: but what', 'of', 'is is comparatively?', 'One of the little ngroes dead. poor', ""little girl, But I don't suppose she had"", 'g', 'arrived to an age to the what me call', 'accountable : so I hope she is paved.', 'in such a condition exposed to', ""How I feel for my Father's Rescants"", 'the nor ath of our Sod. Caps. Mealur', 'is dead l fear unprepared!', 'Sella, Martha and Belle have resolved', 'to say their prayers might and morning.', 'I have been trying to get them to promise', 'to suk religion; I think Della has serious', 'thoughts. Simful polluted, weak which']"
49,"['1850', 'ever', 'that I am:- I almost despair of n doing any', 'good. All my good woods are more', 'than', 'combracted I fear, by my levity and mith', 'This of one ton whose charge is committed', 'such a I that', 'trust! do desire every facul', 'they of my one', 'soul be absorbed in that', 'wish one object to storify my Pad by doing', 'good to fellow immortal.', 'Dec. 14th Had a long conversation with Bro.', 'Teague He advises I should, by no means, make', 'it a closed question, whether it be many duty', 'to go abroad. I do think it is my desire to', 'go where I can acgmosic most good-', 'be', 'wherever that whatever difficulties', '2', 'present. He n will write to Bro. Taylor, the', 'S.', 'secretary of the Board for mei not', 'by our', 'of', 'application, but inguing as to the properie', ':', 'they year of one in my circumstance ess going', 'abroad. l leave it all in the hands of', 'the Great Head. I will look to Him for', 'guidance. He will not refuse.', 'Ann Bealle has eloped with Col. Hing-', 'John Beallis brother in low. A life time', 'repentance for both I predict.']"
50,"['Dec. 16 th Have finished reading throughy the Bible.', 'how careleply read!How little benefit I have', 'received, compared with what I might.', 'I have commenced again, and l hope more', 'earnestly with a greater desire to receive', 'its glorious truths. Besides reading a eerthain', 'portion eachaday. I also study a chapter,', 'by references, commencing at the first', 'of Mattheus.', 'My school elases in four days! how I', 'wish I could knows whether I shall so home.', 'cl am anxious to see my dear parents and', 'friends. I could enjoy very vacation somuch', 'at home; could return, with refreshed mind', 'and body I hope Mr. Paschal will be able', ""to set some other house I don't want to"", 'stay here where there is always such a', ""bustle: and besides I wouldn't leave"", 'Dr. webb to look at every meal. The and', 'Dr. mess are talking about co-partnership.', 'He has been at Enthone since', 'Friday until', 'to-day- in fact he was there every day', ""last week: his object. l don't know. Possibly"", 'he has been dissip sting. such a pity he']"
51,"['23', ""will doso. I don't think I love limi I like"", 'his company - his addreps is very pleasing: and', 'I admire many traits of his character. But I', 'must not love him. A little time after', 'we are parted he will not claim a thought', ""His conduct pussles I can't unramel it"", 'me', 'Des 17th I have never given myself entirely to', 'God; it must be this that proves such a draw-', 'back to any advance cenant in spiritual things', 'If my heart were whally his would I be', 'always yielding to temperation: ""If ye have', 'not the spirit of christ, age are none of his.""', 'Have I his spirit? No. no. My heart is filled', 'with vanity- I seek the applause of the', 'world. Ani l indeed born again:- been renew', 'ed by the Holy spirits influence: I vile writer', 'If, after all the h opes I have had, all the :', 'glowing anticipations of a heaven, I should', 'the and denly ini', 'awake hell! 0 what black', 'dispair! The wasted moments of life - the', 'many many a advantages I have shad my', 'indifference - my suking the world all some', 'wath of God! 0h! should not excite To', 'and eternity the expirate my fally, An the']"
